样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),三区域判定,辅助概率
小号铁夹,6,7,1.6958,0.563319,3.010373,3.006536,3.014129,支持曾遭雷击,1.0
小号铁夹,6,8,1.6029,0.53494,2.996411,2.99464,2.998158,支持曾遭雷击,1.0
小号铁夹,6,9,1.5075,0.49754,3.029909,3.028834,3.031032,支持曾遭雷击,1.0
小号铁夹,6,10,1.4149,0.455328,3.107428,3.106413,3.108583,支持曾遭雷击,1.0
小号铁夹,6,11,1.3259,0.412611,3.213441,3.211117,3.215622,支持曾遭雷击,1.0
小号铁夹,6,12,1.245,0.376629,3.305643,3.302464,3.308608,支持曾遭雷击,1.0
小号铁夹,6,13,1.1788,0.368662,3.19751,3.194877,3.20021,支持曾遭雷击,1.0
小号铁夹,6,14,1.111,0.347624,3.195986,3.191415,3.201037,支持曾遭雷击,1.0
小号铁夹,6,15,1.0444,0.323657,3.226875,3.221178,3.233177,支持曾遭雷击,1.0
小号铁夹,6,22,0.5572,0.192999,2.887066,2.876789,2.898621,支持曾遭雷击,1.0
小号铁夹,6,30,0.2909,0.097795,2.974595,2.965278,2.984393,支持曾遭雷击,1.0
小号铁夹,6,37,0.1803,0.060954,2.957969,2.940126,2.976328,支持曾遭雷击,1.0
小号铁夹,6,44,0.1054,0.034542,3.051345,3.031689,3.071625,支持曾遭雷击,1.0
小号铁夹,6,51,0.061,0.018229,3.346353,3.328166,3.363184,支持曾遭雷击,1.0
小号铁夹,6,58,0.0254,0.008813,2.882076,2.871653,2.893031,支持曾遭雷击,1.0
小号铁夹,6,90,0.0012,0.000389,3.081161,3.04175,3.123334,支持曾遭雷击,1.0
小号铁夹,7,1,1.8645,0.87411,2.133027,2.127137,2.138912,支持曾遭雷击,1.0
小号铁夹,7,2,1.6601,0.803269,2.06668,2.060919,2.072463,支持曾遭雷击,1.0
小号铁夹,7,3,1.4781,0.737632,2.003846,1.998071,2.009554,支持曾遭雷击,1.0
小号铁夹,7,4,1.3946,0.687933,2.027231,2.021937,2.032391,支持曾遭雷击,1.0
小号铁夹,7,5,1.3122,0.638238,2.055973,2.051047,2.060753,支持曾遭雷击,1.0
小号铁夹,7,6,1.2372,0.601659,2.056314,2.052774,2.059768,支持曾遭雷击,1.0
小号铁夹,7,7,1.1669,0.563319,2.071474,2.068833,2.074058,支持曾遭雷击,1.0
小号铁夹,7,8,1.1029,0.53494,2.061727,2.060508,2.062928,支持曾遭雷击,1.0
小号铁夹,7,9,1.0373,0.49754,2.084859,2.084119,2.085631,支持曾遭雷击,1.0
小号铁夹,7,10,0.9736,0.455328,2.138237,2.137539,2.139032,支持曾遭雷击,1.0
小号铁夹,7,11,0.9124,0.412611,2.211286,2.209687,2.212786,支持曾遭雷击,1.0
小号铁夹,7,12,0.8567,0.376629,2.274654,2.272466,2.276694,支持曾遭雷击,1.0
小号铁夹,7,13,0.8111,0.368662,2.200119,2.198307,2.201977,支持曾遭雷击,1.0
小号铁夹,7,14,0.7645,0.347624,2.199218,2.196073,2.202694,支持曾遭雷击,1.0
小号铁夹,7,15,0.7187,0.323657,2.220562,2.216642,2.224899,支持曾遭雷击,1.0
小号铁夹,7,22,0.3834,0.192999,1.986542,1.97947,1.994493,支持曾遭雷击,1.0
小号铁夹,7,30,0.2002,0.097795,2.047143,2.040731,2.053886,支持曾遭雷击,1.0
小号铁夹,7,37,0.1241,0.060954,2.035962,2.023681,2.048598,支持曾遭雷击,1.0
小号铁夹,7,44,0.0725,0.034542,2.098885,2.085365,2.112835,支持曾遭雷击,1.0
小号铁夹,7,51,0.042,0.018229,2.304046,2.291524,2.315635,支持曾遭雷击,1.0
小号铁夹,7,58,0.0175,0.008813,1.985682,1.978501,1.99323,支持曾遭雷击,1.0
小号铁夹,7,90,0.0008,0.000389,2.054108,2.027834,2.082223,支持曾遭雷击,1.0
小号铁夹,8,1,2.3186,0.87411,2.652527,2.645203,2.659845,支持曾遭雷击,1.0
小号铁夹,8,2,2.0644,0.803269,2.569998,2.562834,2.57719,支持曾遭雷击,1.0
小号铁夹,8,3,1.8381,0.737632,2.491895,2.484713,2.498992,支持曾遭雷击,1.0
小号铁夹,8,4,1.7342,0.687933,2.520884,2.514301,2.5273,支持曾遭雷击,1.0
小号铁夹,8,5,1.6318,0.638238,2.556726,2.550601,2.562671,支持曾遭雷击,1.0
小号铁夹,8,6,1.5385,0.601659,2.557096,2.552694,2.561392,支持曾遭雷击,1.0
小号铁夹,8,7,1.4511,0.563319,2.575984,2.5727,2.579197,支持曾遭雷击,1.0
小号铁夹,8,8,1.3715,0.53494,2.563839,2.562324,2.565334,支持曾遭雷击,1.0
小号铁夹,8,9,1.2899,0.49754,2.592557,2.591637,2.593518,支持曾遭雷击,1.0
小号铁夹,8,10,1.2107,0.455328,2.65896,2.658092,2.659949,支持曾遭雷击,1.0
小号铁夹,8,11,1.1346,0.412611,2.749808,2.74782,2.751674,支持曾遭雷击,1.0
小号铁夹,8,12,1.0653,0.376629,2.828515,2.825795,2.831052,支持曾遭雷击,1.0
小号铁夹,8,13,1.0086,0.368662,2.735841,2.733587,2.738151,支持曾遭雷击,1.0
小号铁夹,8,14,0.9507,0.347624,2.734855,2.730944,2.739177,支持曾遭雷击,1.0
小号铁夹,8,15,0.8937,0.323657,2.761258,2.756384,2.766651,支持曾遭雷击,1.0
小号铁夹,8,22,0.4768,0.192999,2.470483,2.461689,2.48037,支持曾遭雷击,1.0
小号铁夹,8,30,0.2489,0.097795,2.545124,2.537153,2.553508,支持曾遭雷击,1.0
小号铁夹,8,37,0.1543,0.060954,2.531418,2.516148,2.547129,支持曾遭雷击,1.0
小号铁夹,8,44,0.0902,0.034542,2.611303,2.594481,2.628658,支持曾遭雷击,1.0
小号铁夹,8,51,0.0522,0.018229,2.863601,2.848037,2.878003,支持曾遭雷击,1.0
小号铁夹,8,58,0.0218,0.008813,2.473593,2.464647,2.482995,支持曾遭雷击,1.0
小号铁夹,8,90,0.001,0.000389,2.567635,2.534792,2.602778,支持曾遭雷击,1.0
小号铁夹,9,1,2.4314,0.87411,2.781573,2.773892,2.789246,支持曾遭雷击,1.0
小号铁夹,9,2,2.1649,0.803269,2.695112,2.687599,2.702654,支持曾遭雷击,1.0
小号铁夹,9,3,1.9276,0.737632,2.613229,2.605698,2.620672,支持曾遭雷击,1.0
小号铁夹,9,4,1.8186,0.687933,2.64357,2.636667,2.650298,支持曾遭雷击,1.0
小号铁夹,9,5,1.7112,0.638238,2.681131,2.674708,2.687365,支持曾遭雷击,1.0
小号铁夹,9,6,1.6134,0.601659,2.681585,2.676969,2.68609,支持曾遭雷击,1.0
小号铁夹,9,7,1.5217,0.563319,2.701312,2.697869,2.704682,支持曾遭雷击,1.0
小号铁夹,9,8,1.4383,0.53494,2.688713,2.687124,2.69028,支持曾遭雷击,1.0
小号铁夹,9,9,1.3527,0.49754,2.718778,2.717813,2.719785,支持曾遭雷击,1.0
小号铁夹,9,10,1.2696,0.455328,2.788317,2.787407,2.789354,支持曾遭雷击,1.0
小号铁夹,9,11,1.1898,0.412611,2.88359,2.881505,2.885547,支持曾遭雷击,1.0
小号铁夹,9,12,1.1171,0.376629,2.966051,2.963198,2.968712,支持曾遭雷击,1.0
小号铁夹,9,13,1.0577,0.368662,2.869025,2.866662,2.871448,支持曾遭雷击,1.0
小号铁夹,9,14,0.997,0.347624,2.868045,2.863943,2.872578,支持曾遭雷击,1.0
小号铁夹,9,15,0.9372,0.323657,2.89566,2.890548,2.901315,支持曾遭雷击,1.0
小号铁夹,9,22,0.5,0.192999,2.590691,2.581469,2.60106,支持曾遭雷击,1.0
小号铁夹,9,30,0.261,0.097795,2.668853,2.660494,2.677644,支持曾遭雷击,1.0
小号铁夹,9,37,0.1618,0.060954,2.654461,2.638449,2.670936,支持曾遭雷击,1.0
小号铁夹,9,44,0.0946,0.034542,2.738683,2.721041,2.756885,支持曾遭雷击,1.0
小号铁夹,9,51,0.0548,0.018229,3.006232,2.989894,3.021352,支持曾遭雷击,1.0
小号铁夹,9,58,0.0228,0.008813,2.58706,2.577705,2.596894,支持曾遭雷击,1.0
小号铁夹,9,90,0.0011,0.000389,2.824398,2.788271,2.863056,支持曾遭雷击,1.0
小号铁夹,10,1,1.6433,0.87411,1.87997,1.874779,1.885156,支持曾遭雷击,1.0
小号铁夹,10,2,1.4632,0.803269,1.821556,1.816479,1.826654,支持曾遭雷击,1.0
小号铁夹,10,3,1.3028,0.737632,1.766193,1.761103,1.771224,支持曾遭雷击,1.0
小号铁夹,10,4,1.2291,0.687933,1.786656,1.78199,1.791203,支持曾遭雷击,1.0
小号铁夹,10,5,1.1566,0.638238,1.812176,1.807835,1.81639,支持曾遭雷击,1.0
小号铁夹,10,6,1.0905,0.601659,1.812488,1.809368,1.815533,支持曾遭雷击,1.0
小号铁夹,10,7,1.0285,0.563319,1.825787,1.823459,1.828065,支持曾遭雷击,1.0
小号铁夹,10,8,0.9721,0.53494,1.817213,1.816139,1.818273,支持曾遭雷击,1.0
小号铁夹,10,9,0.9142,0.49754,1.837441,1.836789,1.838122,支持曾遭雷击,1.0
小号铁夹,10,10,0.8581,0.455328,1.884574,1.883959,1.885275,支持曾遭雷击,1.0
小号铁夹,10,11,0.8041,0.412611,1.948811,1.947401,1.950133,支持曾遭雷击,1.0
小号铁夹,10,12,0.755,0.376629,2.004627,2.002699,2.006425,支持曾遭雷击,1.0
小号铁夹,10,13,0.7149,0.368662,1.939176,1.937578,1.940813,支持曾遭雷击,1.0
小号铁夹,10,14,0.6738,0.347624,1.938304,1.935532,1.941367,支持曾遭雷击,1.0
小号铁夹,10,15,0.6334,0.323657,1.957011,1.953556,1.960833,支持曾遭雷击,1.0
小号铁夹,10,22,0.3379,0.192999,1.750789,1.744557,1.757796,支持曾遭雷击,1.0
小号铁夹,10,30,0.1764,0.097795,1.803776,1.798127,1.809718,支持曾遭雷击,1.0
小号铁夹,10,37,0.1093,0.060954,1.793156,1.782339,1.804285,支持曾遭雷击,1.0
小号铁夹,10,44,0.0639,0.034542,1.849914,1.837997,1.862209,支持曾遭雷击,1.0
小号铁夹,10,51,0.037,0.018229,2.029755,2.018724,2.039964,支持曾遭雷击,1.0
小号铁夹,10,58,0.0154,0.008813,1.7474,1.741081,1.754043,支持曾遭雷击,1.0
小号铁夹,10,90,0.0007,0.000389,1.797344,1.774354,1.821945,支持曾遭雷击,1.0
小号铁夹,11,1,2.4533,0.87411,2.806627,2.798877,2.81437,支持曾遭雷击,1.0
小号铁夹,11,2,2.1843,0.803269,2.719263,2.711683,2.726873,支持曾遭雷击,1.0
小号铁夹,11,3,1.9449,0.737632,2.636682,2.629084,2.644193,支持曾遭雷击,1.0
小号铁夹,11,4,1.8349,0.687933,2.667264,2.660299,2.674053,支持曾遭雷击,1.0
小号铁夹,11,5,1.7266,0.638238,2.70526,2.698779,2.71155,支持曾遭雷击,1.0
小号铁夹,11,6,1.6279,0.601659,2.705685,2.701027,2.71023,支持曾遭雷击,1.0
小号铁夹,11,7,1.5353,0.563319,2.725455,2.721981,2.728855,支持曾遭雷击,1.0
小号铁夹,11,8,1.4512,0.53494,2.712828,2.711224,2.714409,支持曾遭雷击,1.0
小号铁夹,11,9,1.3648,0.49754,2.743098,2.742124,2.744114,支持曾遭雷击,1.0
小号铁夹,11,10,1.2811,0.455328,2.813574,2.812655,2.81462,支持曾遭雷击,1.0
小号铁夹,11,11,1.2005,0.412611,2.909523,2.907419,2.911497,支持曾遭雷击,1.0
小号铁夹,11,12,1.1272,0.376629,2.992868,2.989989,2.995552,支持曾遭雷击,1.0
小号铁夹,11,13,1.0672,0.368662,2.894794,2.892409,2.897238,支持曾遭雷击,1.0
小号铁夹,11,14,1.0059,0.347624,2.893648,2.889509,2.89822,支持曾遭雷击,1.0
小号铁夹,11,15,0.9456,0.323657,2.921613,2.916456,2.927319,支持曾遭雷击,1.0
小号铁夹,11,22,0.5045,0.192999,2.614007,2.604702,2.624469,支持曾遭雷击,1.0
小号铁夹,11,30,0.2634,0.097795,2.693394,2.684958,2.702266,支持曾遭雷击,1.0
小号铁夹,11,37,0.1632,0.060954,2.677429,2.661279,2.694047,支持曾遭雷击,1.0
小号铁夹,11,44,0.0954,0.034542,2.761843,2.744052,2.780199,支持曾遭雷击,1.0
小号铁夹,11,51,0.0553,0.018229,3.033661,3.017174,3.048919,支持曾遭雷击,1.0
小号铁夹,11,58,0.023,0.008813,2.609754,2.600316,2.619674,支持曾遭雷击,1.0
小号铁夹,11,90,0.0011,0.000389,2.824398,2.788271,2.863056,支持曾遭雷击,1.0
小号铁夹,12,1,1.8224,0.87411,2.084864,2.079107,2.090616,支持曾遭雷击,1.0
小号铁夹,12,2,1.6227,0.803269,2.02012,2.014489,2.025773,支持曾遭雷击,1.0
小号铁夹,12,3,1.4448,0.737632,1.958702,1.953057,1.964281,支持曾遭雷击,1.0
小号铁夹,12,4,1.3631,0.687933,1.981442,1.976268,1.986485,支持曾遭雷击,1.0
小号铁夹,12,5,1.2826,0.638238,2.009595,2.004781,2.014267,支持曾遭雷击,1.0
小号铁夹,12,6,1.2093,0.601659,2.009942,2.006482,2.013319,支持曾遭雷击,1.0
小号铁夹,12,7,1.1406,0.563319,2.024786,2.022205,2.027312,支持曾遭雷击,1.0
小号铁夹,12,8,1.078,0.53494,2.01518,2.013988,2.016354,支持曾遭雷击,1.0
小号铁夹,12,9,1.0139,0.49754,2.037827,2.037104,2.038582,支持曾遭雷击,1.0
小号铁夹,12,10,0.9516,0.455328,2.08992,2.089238,2.090698,支持曾遭雷击,1.0
小号铁夹,12,11,0.8918,0.412611,2.16136,2.159797,2.162827,支持曾遭雷击,1.0
小号铁夹,12,12,0.8373,0.376629,2.223144,2.221006,2.225138,支持曾遭雷击,1.0
小号铁夹,12,13,0.7928,0.368662,2.15048,2.148709,2.152296,支持曾遭雷击,1.0
小号铁夹,12,14,0.7473,0.347624,2.149739,2.146665,2.153137,支持曾遭雷击,1.0
小号铁夹,12,15,0.7024,0.323657,2.1702,2.166369,2.174438,支持曾遭雷击,1.0
小号铁夹,12,22,0.3748,0.192999,1.941982,1.935069,1.949754,支持曾遭雷击,1.0
小号铁夹,12,30,0.1957,0.097795,2.001128,1.994861,2.00772,支持曾遭雷击,1.0
小号铁夹,12,37,0.1213,0.060954,1.990026,1.978021,2.002377,支持曾遭雷击,1.0
小号铁夹,12,44,0.0709,0.034542,2.052565,2.039343,2.066207,支持曾遭雷击,1.0
小号铁夹,12,51,0.0411,0.018229,2.254674,2.24242,2.266014,支持曾遭雷击,1.0
小号铁夹,12,58,0.0171,0.008813,1.940295,1.933278,1.947671,支持曾遭雷击,1.0
小号铁夹,12,90,0.0008,0.000389,2.054108,2.027834,2.082223,支持曾遭雷击,1.0
小号铁夹,13,1,1.6702,0.87411,1.910744,1.905468,1.916015,支持曾遭雷击,1.0
小号铁夹,13,2,1.4871,0.803269,1.85131,1.846149,1.856491,支持曾遭雷击,1.0
小号铁夹,13,3,1.3241,0.737632,1.79507,1.789896,1.800183,支持曾遭雷击,1.0
小号铁夹,13,4,1.2492,0.687933,1.815874,1.811132,1.820495,支持曾遭雷击,1.0
小号铁夹,13,5,1.1755,0.638238,1.841789,1.837377,1.846071,支持曾遭雷击,1.0
小号铁夹,13,6,1.1083,0.601659,1.842073,1.838902,1.845168,支持曾遭雷击,1.0
小号铁夹,13,7,1.0453,0.563319,1.85561,1.853245,1.857925,支持曾遭雷击,1.0
小号铁夹,13,8,0.988,0.53494,1.846936,1.845845,1.848013,支持曾遭雷击,1.0
小号铁夹,13,9,0.9292,0.49754,1.86759,1.866927,1.868282,支持曾遭雷击,1.0
小号铁夹,13,10,0.8721,0.455328,1.915321,1.914696,1.916033,支持曾遭雷击,1.0
小号铁夹,13,11,0.8173,0.412611,1.980802,1.97937,1.982146,支持曾遭雷击,1.0
小号铁夹,13,12,0.7674,0.376629,2.037551,2.035591,2.039378,支持曾遭雷击,1.0
小号铁夹,13,13,0.7266,0.368662,1.970912,1.969289,1.972576,支持曾遭雷击,1.0
小号铁夹,13,14,0.6848,0.347624,1.969947,1.96713,1.97306,支持曾遭雷击,1.0
小号铁夹,13,15,0.6438,0.323657,1.989144,1.985632,1.993029,支持曾遭雷击,1.0
小号铁夹,13,22,0.3435,0.192999,1.779805,1.773469,1.786928,支持曾遭雷击,1.0
小号铁夹,13,30,0.1793,0.097795,1.83343,1.827688,1.839469,支持曾遭雷击,1.0
小号铁夹,13,37,0.1111,0.060954,1.822686,1.811692,1.833999,支持曾遭雷击,1.0
小号铁夹,13,44,0.065,0.034542,1.881759,1.869637,1.894266,支持曾遭雷击,1.0
小号铁夹,13,51,0.0376,0.018229,2.06267,2.05146,2.073044,支持曾遭雷击,1.0
小号铁夹,13,58,0.0157,0.008813,1.781441,1.774998,1.788212,支持曾遭雷击,1.0
小号铁夹,13,90,0.0007,0.000389,1.797344,1.774354,1.821945,支持曾遭雷击,1.0
小号铁夹,14,1,2.946,0.87411,3.370286,3.36098,3.379584,支持曾遭雷击,1.0
小号铁夹,14,2,2.623,0.803269,3.265406,3.256304,3.274545,支持曾遭雷击,1.0
小号铁夹,14,3,2.3355,0.737632,3.166215,3.15709,3.175234,支持曾遭雷击,1.0
小号铁夹,14,4,2.2034,0.687933,3.202927,3.194563,3.211078,支持曾遭雷击,1.0
小号铁夹,14,5,2.0733,0.638238,3.248474,3.240692,3.256027,支持曾遭雷击,1.0
小号铁夹,14,6,1.9548,0.601659,3.249016,3.243423,3.254474,支持曾遭雷击,1.0
小号铁夹,14,7,1.8437,0.563319,3.272925,3.268752,3.277008,支持曾遭雷击,1.0
小号铁夹,14,8,1.7426,0.53494,3.257562,3.255636,3.259461,支持曾遭雷击,1.0
小号铁夹,14,9,1.6389,0.49754,3.294009,3.29284,3.295229,支持曾遭雷击,1.0
小号铁夹,14,10,1.5383,0.455328,3.378441,3.377338,3.379697,支持曾遭雷击,1.0
小号铁夹,14,11,1.4416,0.412611,3.493851,3.491324,3.496222,支持曾遭雷击,1.0
小号铁夹,14,12,1.3535,0.376629,3.593725,3.590269,3.596948,支持曾遭雷击,1.0
小号铁夹,14,13,1.2816,0.368662,3.476357,3.473493,3.479292,支持曾遭雷击,1.0
小号铁夹,14,14,1.2079,0.347624,3.474736,3.469766,3.480227,支持曾遭雷击,1.0
小号铁夹,14,15,1.1355,0.323657,3.508346,3.502152,3.515198,支持曾遭雷击,1.0
小号铁夹,14,22,0.6058,0.192999,3.138881,3.127708,3.151444,支持曾遭雷击,1.0
小号铁夹,14,30,0.3163,0.097795,3.234322,3.224192,3.244976,支持曾遭雷击,1.0
小号铁夹,14,37,0.196,0.060954,3.21554,3.196144,3.235498,支持曾遭雷击,1.0
小号铁夹,14,44,0.1146,0.034542,3.317686,3.296314,3.339736,支持曾遭雷击,1.0
小号铁夹,14,51,0.0664,0.018229,3.642588,3.622791,3.660908,支持曾遭雷击,1.0
小号铁夹,14,58,0.0277,0.008813,3.143051,3.131685,3.154999,支持曾遭雷击,1.0
小号铁夹,14,90,0.0013,0.000389,3.337925,3.29523,3.383612,支持曾遭雷击,1.0
小号铁夹,15,1,2.9701,0.87411,3.397857,3.388475,3.407231,支持曾遭雷击,1.0
小号铁夹,15,2,2.6446,0.803269,3.292296,3.283119,3.30151,支持曾遭雷击,1.0
小号铁夹,15,3,2.3547,0.737632,3.192244,3.183044,3.201337,支持曾遭雷击,1.0
小号铁夹,15,4,2.2215,0.687933,3.229238,3.220805,3.237456,支持曾遭雷击,1.0
小号铁夹,15,5,2.0903,0.638238,3.27511,3.267264,3.282725,支持曾遭雷击,1.0
小号铁夹,15,6,1.9709,0.601659,3.275776,3.270136,3.281278,支持曾遭雷击,1.0
小号铁夹,15,7,1.8588,0.563319,3.29973,3.295524,3.303847,支持曾遭雷击,1.0
小号铁夹,15,8,1.7569,0.53494,3.284294,3.282353,3.286208,支持曾遭雷击,1.0
小号铁夹,15,9,1.6524,0.49754,3.321142,3.319964,3.322373,支持曾遭雷击,1.0
小号铁夹,15,10,1.551,0.455328,3.406333,3.405221,3.4076,支持曾遭雷击,1.0
小号铁夹,15,11,1.4534,0.412611,3.522449,3.519902,3.52484,支持曾遭雷击,1.0
小号铁夹,15,12,1.3646,0.376629,3.623197,3.619712,3.626447,支持曾遭雷击,1.0
小号铁夹,15,13,1.2921,0.368662,3.504838,3.501951,3.507798,支持曾遭雷击,1.0
小号铁夹,15,14,1.2178,0.347624,3.503215,3.498205,3.508751,支持曾遭雷击,1.0
小号铁夹,15,15,1.1448,0.323657,3.53708,3.530836,3.543988,支持曾遭雷击,1.0
小号铁夹,15,22,0.6108,0.192999,3.164788,3.153523,3.177454,支持曾遭雷击,1.0
小号铁夹,15,30,0.3189,0.097795,3.260909,3.250695,3.27165,支持曾遭雷击,1.0
小号铁夹,15,37,0.1976,0.060954,3.241789,3.222234,3.26191,支持曾遭雷击,1.0
小号铁夹,15,44,0.1155,0.034542,3.343741,3.322202,3.365965,支持曾遭雷击,1.0
小号铁夹,15,51,0.0669,0.018229,3.670017,3.650071,3.688475,支持曾遭雷击,1.0
小号铁夹,15,58,0.0279,0.008813,3.165745,3.154296,3.177778,支持曾遭雷击,1.0
小号铁夹,15,90,0.0013,0.000389,3.337925,3.29523,3.383612,支持曾遭雷击,1.0
小号铁夹,16,1,2.7432,0.87411,3.138279,3.129613,3.146936,支持曾遭雷击,1.0
小号铁夹,16,2,2.4425,0.803269,3.040699,3.032224,3.049209,支持曾遭雷击,1.0
小号铁夹,16,3,2.1747,0.737632,2.94822,2.939723,2.956618,支持曾遭雷击,1.0
小号铁夹,16,4,2.0517,0.687933,2.982411,2.974623,2.990001,支持曾遭雷击,1.0
小号铁夹,16,5,1.9306,0.638238,3.02489,3.017643,3.031923,支持曾遭雷击,1.0
小号铁夹,16,6,1.8203,0.601659,3.025468,3.020259,3.03055,支持曾遭雷击,1.0
小号铁夹,16,7,1.7168,0.563319,3.047653,3.043767,3.051455,支持曾遭雷击,1.0
小号铁夹,16,8,1.6227,0.53494,3.033425,3.031632,3.035193,支持曾遭雷击,1.0
小号铁夹,16,9,1.5261,0.49754,3.067293,3.066205,3.06843,支持曾遭雷击,1.0
小号铁夹,16,10,1.4324,0.455328,3.145861,3.144834,3.147032,支持曾遭雷击,1.0
小号铁夹,16,11,1.3423,0.412611,3.253188,3.250836,3.255396,支持曾遭雷击,1.0
小号铁夹,16,12,1.2604,0.376629,3.346532,3.343313,3.349534,支持曾遭雷击,1.0
小号铁夹,16,13,1.1933,0.368662,3.236842,3.234176,3.239575,支持曾遭雷击,1.0
小号铁夹,16,14,1.1248,0.347624,3.235684,3.231056,3.240798,支持曾遭雷击,1.0
小号铁夹,16,15,1.0573,0.323657,3.266732,3.260965,3.273112,支持曾遭雷击,1.0
小号铁夹,16,22,0.5641,0.192999,2.922818,2.912413,2.934515,支持曾遭雷击,1.0
小号铁夹,16,30,0.2945,0.097795,3.011407,3.001975,3.021326,支持曾遭雷击,1.0
小号铁夹,16,37,0.1825,0.060954,2.994062,2.976001,3.012645,支持曾遭雷击,1.0
小号铁夹,16,44,0.1067,0.034542,3.08898,3.069081,3.10951,支持曾遭雷击,1.0
小号铁夹,16,51,0.0618,0.018229,3.39024,3.371814,3.407291,支持曾遭雷击,1.0
小号铁夹,16,58,0.0258,0.008813,2.927463,2.916876,2.938591,支持曾遭雷击,1.0
小号铁夹,16,90,0.0012,0.000389,3.081161,3.04175,3.123334,支持曾遭雷击,1.0
小号铁夹,17,1,2.016,0.87411,2.306347,2.299978,2.312709,支持曾遭雷击,1.0
小号铁夹,17,2,1.795,0.803269,2.234618,2.22839,2.240872,支持曾遭雷击,1.0
小号铁夹,17,3,1.5982,0.737632,2.166664,2.16042,2.172836,支持曾遭雷击,1.0
小号铁夹,17,4,1.5078,0.687933,2.191782,2.186059,2.19736,支持曾遭雷击,1.0
小号铁夹,17,5,1.4188,0.638238,2.222995,2.217669,2.228163,支持曾遭雷击,1.0
小号铁夹,17,6,1.3377,0.601659,2.223352,2.219525,2.227087,支持曾遭雷击,1.0
小号铁夹,17,7,1.2617,0.563319,2.239762,2.236907,2.242556,支持曾遭雷击,1.0
小号铁夹,17,8,1.1925,0.53494,2.229222,2.227904,2.230522,支持曾遭雷击,1.0
小号铁夹,17,9,1.1216,0.49754,2.254293,2.253493,2.255128,支持曾遭雷击,1.0
小号铁夹,17,10,1.0527,0.455328,2.311958,2.311203,2.312818,支持曾遭雷击,1.0
小号铁夹,17,11,0.9865,0.412611,2.390874,2.389145,2.392497,支持曾遭雷击,1.0
小号铁夹,17,12,0.9263,0.376629,2.459452,2.457086,2.461657,支持曾遭雷击,1.0
小号铁夹,17,13,0.877,0.368662,2.378874,2.376914,2.380883,支持曾遭雷击,1.0
小号铁夹,17,14,0.8266,0.347624,2.37786,2.374459,2.381617,支持曾遭雷击,1.0
小号铁夹,17,15,0.777,0.323657,2.400691,2.396453,2.40538,支持曾遭雷击,1.0
小号铁夹,17,22,0.4146,0.192999,2.148201,2.140554,2.156799,支持曾遭雷击,1.0
小号铁夹,17,30,0.2164,0.097795,2.212796,2.205865,2.220085,支持曾遭雷击,1.0
小号铁夹,17,37,0.1341,0.060954,2.20002,2.186749,2.213675,支持曾遭雷击,1.0
小号铁夹,17,44,0.0784,0.034542,2.269691,2.25507,2.284776,支持曾遭雷击,1.0
小号铁夹,17,51,0.0454,0.018229,2.490565,2.477029,2.503091,支持曾遭雷击,1.0
小号铁夹,17,58,0.0189,0.008813,2.144537,2.136781,2.152689,支持曾遭雷击,1.0
小号铁夹,17,90,0.0009,0.000389,2.310871,2.281313,2.3425,支持曾遭雷击,1.0
小号铁夹,18,1,1.7173,0.87411,1.964627,1.959203,1.970047,支持曾遭雷击,1.0
小号铁夹,18,2,1.529,0.803269,1.903472,1.898166,1.908799,支持曾遭雷击,1.0
小号铁夹,18,3,1.3614,0.737632,1.845637,1.840318,1.850894,支持曾遭雷击,1.0
小号铁夹,18,4,1.2844,0.687933,1.867042,1.862166,1.871793,支持曾遭雷击,1.0
小号铁夹,18,5,1.2086,0.638238,1.893651,1.889114,1.898053,支持曾遭雷击,1.0
小号铁夹,18,6,1.1395,0.601659,1.89393,1.890669,1.897111,支持曾遭雷击,1.0
小号铁夹,18,7,1.0747,0.563319,1.907801,1.905369,1.910181,支持曾遭雷击,1.0
小号铁夹,18,8,1.0158,0.53494,1.898905,1.897782,1.900012,支持曾遭雷击,1.0
小号铁夹,18,9,0.9554,0.49754,1.920249,1.919567,1.92096,支持曾遭雷击,1.0
小号铁夹,18,10,0.8967,0.455328,1.969348,1.968705,1.97008,支持曾遭雷击,1.0
小号铁夹,18,11,0.8403,0.412611,2.036545,2.035072,2.037927,支持曾遭雷击,1.0
小号铁夹,18,12,0.789,0.376629,2.094901,2.092887,2.09678,支持曾遭雷击,1.0
小号铁夹,18,13,0.7471,0.368662,2.026518,2.024849,2.02823,支持曾遭雷击,1.0
小号铁夹,18,14,0.7041,0.347624,2.025467,2.02257,2.028668,支持曾遭雷击,1.0
小号铁夹,18,15,0.6619,0.323657,2.045067,2.041457,2.049061,支持曾遭雷击,1.0
小号铁夹,18,22,0.3532,0.192999,1.830064,1.82355,1.837389,支持曾遭雷击,1.0
小号铁夹,18,30,0.1844,0.097795,1.88558,1.879675,1.891791,支持曾遭雷击,1.0
小号铁夹,18,37,0.1143,0.060954,1.875185,1.863873,1.886823,支持曾遭雷击,1.0
小号铁夹,18,44,0.0668,0.034542,1.933869,1.921412,1.946722,支持曾遭雷击,1.0
小号铁夹,18,51,0.0387,0.018229,2.123014,2.111476,2.133692,支持曾遭雷击,1.0
小号铁夹,18,58,0.0161,0.008813,1.826828,1.820221,1.833772,支持曾遭雷击,1.0
