样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,三区域判定,辅助概率,高风险提示
小号铁夹,1,9,1.3683,0.49754,0.49754,2.750132,2.749196,2.751131,0.000704,支持曾遭雷击,1.0,否
小号铁夹,1,10,1.2843,0.455328,0.455328,2.820602,2.819629,2.821718,0.000741,支持曾遭雷击,1.0,否
小号铁夹,1,11,1.2035,0.412611,0.412611,2.916793,2.9148,2.918826,0.00138,支持曾遭雷击,1.0,否
小号铁夹,1,12,1.13,0.376629,0.376629,3.000303,2.997531,3.003137,0.001868,支持曾遭雷击,1.0,否
小号铁夹,1,13,1.0699,0.368662,0.368662,2.902118,2.8998,2.904585,0.001649,支持曾遭雷击,1.0,否
小号铁夹,1,14,1.0085,0.347624,0.347624,2.901127,2.896872,2.9055,0.002974,支持曾遭雷击,1.0,否
小号铁夹,1,15,0.948,0.323657,0.323657,2.929029,2.923551,2.934367,0.003693,支持曾遭雷击,1.0,否
小号铁夹,1,22,0.5058,0.192999,0.192999,2.620743,2.610731,2.630541,0.007559,支持曾遭雷击,1.0,否
小号铁夹,1,30,0.264,0.097795,0.097795,2.699529,2.690058,2.708805,0.006944,支持曾遭雷击,1.0,否
小号铁夹,1,37,0.1636,0.060954,0.060954,2.683992,2.666685,2.702004,0.013159,支持曾遭雷击,1.0,否
小号铁夹,1,44,0.0957,0.034542,0.034542,2.770528,2.751044,2.790149,0.014115,灰区/证据不足,1.0,是
小号铁夹,1,51,0.0554,0.018229,0.018229,3.039147,3.02113,3.056229,0.011549,灰区/证据不足,1.0,是
小号铁夹,1,58,0.0231,0.008813,0.008813,2.621101,2.611933,2.630114,0.006937,灰区/证据不足,1.0,是
小号铁夹,1,90,0.0011,0.000389,0.000389,2.824398,2.78515,2.863402,0.027706,灰区/证据不足,1.0,是
小号铁夹,2,1,1.7776,0.87411,0.87411,2.033612,2.02737,2.039831,0.006128,支持曾遭雷击,1.0,否
小号铁夹,2,2,1.5828,0.803269,0.803269,1.970448,1.964296,1.976476,0.006181,支持曾遭雷击,1.0,否
小号铁夹,2,3,1.4093,0.737632,0.737632,1.910574,1.904608,1.916424,0.006184,支持曾遭雷击,1.0,否
小号铁夹,2,4,1.3296,0.687933,0.687933,1.932746,1.927385,1.937978,0.005481,支持曾遭雷击,1.0,否
小号铁夹,2,5,1.2511,0.638238,0.638238,1.96024,1.955257,1.965077,0.005009,支持曾遭雷击,1.0,否
小号铁夹,2,6,1.1796,0.601659,0.601659,1.960579,1.957014,1.964133,0.003631,支持曾遭雷击,1.0,否
小号铁夹,2,7,1.1125,0.563319,0.563319,1.974903,1.972272,1.977571,0.002683,支持曾遭雷击,1.0,否
小号铁夹,2,8,1.0515,0.53494,0.53494,1.965641,1.964614,1.966786,0.001105,支持曾遭雷击,1.0,否
小号铁夹,2,9,0.989,0.49754,0.49754,1.987781,1.987104,1.988503,0.000704,支持曾遭雷击,1.0,否
小号铁夹,2,10,0.9283,0.455328,0.455328,2.038748,2.038045,2.039555,0.000741,支持曾遭雷击,1.0,否
小号铁夹,2,11,0.8699,0.412611,0.412611,2.108283,2.106842,2.109752,0.00138,支持曾遭雷击,1.0,否
小号铁夹,2,12,0.8167,0.376629,0.376629,2.168449,2.166446,2.170497,0.001868,支持曾遭雷击,1.0,否
小号铁夹,2,13,0.7733,0.368662,0.368662,2.097586,2.095911,2.09937,0.001649,支持曾遭雷击,1.0,否
小号铁夹,2,14,0.7289,0.347624,0.347624,2.096809,2.093733,2.099969,0.002974,支持曾遭雷击,1.0,否
小号铁夹,2,15,0.6852,0.323657,0.323657,2.117057,2.113098,2.120916,0.003693,支持曾遭雷击,1.0,否
小号铁夹,2,22,0.3656,0.192999,0.192999,1.894313,1.887077,1.901395,0.007559,支持曾遭雷击,1.0,否
小号铁夹,2,30,0.1908,0.097795,0.097795,1.951023,1.944178,1.957727,0.006944,支持曾遭雷击,1.0,否
小号铁夹,2,37,0.1183,0.060954,0.060954,1.940808,1.928293,1.953833,0.013159,支持曾遭雷击,1.0,否
小号铁夹,2,44,0.0691,0.034542,0.034542,2.000455,1.986386,2.014622,0.014115,灰区/证据不足,1.0,是
小号铁夹,2,51,0.0401,0.018229,0.018229,2.199816,2.186775,2.21218,0.011549,灰区/证据不足,1.0,是
小号铁夹,2,58,0.0167,0.008813,0.008813,1.894908,1.888281,1.901425,0.006937,灰区/证据不足,1.0,是
小号铁夹,2,90,0.0008,0.000389,0.000389,2.054108,2.025564,2.082474,0.027706,灰区/证据不足,1.0,是
小号铁夹,3,1,1.998,0.87411,0.87411,2.285754,2.278738,2.292745,0.006128,支持曾遭雷击,1.0,否
小号铁夹,3,2,1.779,0.803269,0.803269,2.2147,2.207786,2.221475,0.006181,支持曾遭雷击,1.0,否
小号铁夹,3,3,1.584,0.737632,0.737632,2.147414,2.140708,2.153988,0.006184,支持曾遭雷击,1.0,否
小号铁夹,3,4,1.4944,0.687933,0.687933,2.172304,2.166279,2.178185,0.005481,支持曾遭雷击,1.0,否
小号铁夹,3,5,1.4062,0.638238,0.638238,2.203253,2.197652,2.208689,0.005009,支持曾遭雷击,1.0,否
小号铁夹,3,6,1.3258,0.601659,0.601659,2.203574,2.199567,2.207569,0.003631,支持曾遭雷击,1.0,否
小号铁夹,3,7,1.2504,0.563319,0.563319,2.219702,2.216745,2.222701,0.002683,支持曾遭雷击,1.0,否
小号铁夹,3,8,1.1819,0.53494,0.53494,2.209407,2.208252,2.210694,0.001105,支持曾遭雷击,1.0,否
小号铁夹,3,9,1.1116,0.49754,0.49754,2.234194,2.233433,2.235005,0.000704,支持曾遭雷击,1.0,否
小号铁夹,3,10,1.0433,0.455328,0.455328,2.291313,2.290523,2.29222,0.000741,支持曾遭雷击,1.0,否
小号铁夹,3,11,0.9777,0.412611,0.412611,2.369546,2.367927,2.371197,0.00138,支持曾遭雷击,1.0,否
小号铁夹,3,12,0.918,0.376629,0.376629,2.437414,2.435163,2.439716,0.001868,支持曾遭雷击,1.0,否
小号铁夹,3,13,0.8692,0.368662,0.368662,2.357716,2.355833,2.359721,0.001649,支持曾遭雷击,1.0,否
小号铁夹,3,14,0.8192,0.347624,0.347624,2.356572,2.353116,2.360125,0.002974,支持曾遭雷击,1.0,否
小号铁夹,3,15,0.7701,0.323657,0.323657,2.379372,2.374922,2.383709,0.003693,支持曾遭雷击,1.0,否
小号铁夹,3,22,0.4109,0.192999,0.192999,2.12903,2.120897,2.136989,0.007559,支持曾遭雷击,1.0,否
小号铁夹,3,30,0.2145,0.097795,0.097795,2.193367,2.185672,2.200904,0.006944,支持曾遭雷击,1.0,否
小号铁夹,3,37,0.1329,0.060954,0.060954,2.180333,2.166274,2.194965,0.013159,支持曾遭雷击,1.0,否
小号铁夹,3,44,0.0777,0.034542,0.034542,2.249426,2.233606,2.265356,0.014115,灰区/证据不足,1.0,是
小号铁夹,3,51,0.045,0.018229,0.018229,2.468621,2.453987,2.482496,0.011549,灰区/证据不足,1.0,是
小号铁夹,3,58,0.0188,0.008813,0.008813,2.13319,2.125729,2.140526,0.006937,灰区/证据不足,1.0,是
小号铁夹,3,90,0.0009,0.000389,0.000389,2.310871,2.278759,2.342783,0.027706,灰区/证据不足,1.0,是
小号铁夹,4,1,2.1051,0.87411,0.87411,2.408279,2.400887,2.415644,0.006128,支持曾遭雷击,1.0,否
小号铁夹,4,2,1.8744,0.803269,0.803269,2.333464,2.32618,2.340603,0.006181,支持曾遭雷击,1.0,否
小号铁夹,4,3,1.6689,0.737632,0.737632,2.262512,2.255446,2.269439,0.006184,支持曾遭雷击,1.0,否
小号铁夹,4,4,1.5745,0.687933,0.687933,2.288739,2.282391,2.294936,0.005481,支持曾遭雷击,1.0,否
小号铁夹,4,5,1.4816,0.638238,0.638238,2.321391,2.31549,2.327118,0.005009,支持曾遭雷击,1.0,否
小号铁夹,4,6,1.3969,0.601659,0.601659,2.321747,2.317526,2.325956,0.003631,支持曾遭雷击,1.0,否
小号铁夹,4,7,1.3175,0.563319,0.563319,2.338818,2.335702,2.341978,0.002683,支持曾遭雷击,1.0,否
小号铁夹,4,8,1.2453,0.53494,0.53494,2.327925,2.326708,2.329281,0.001105,支持曾遭雷击,1.0,否
小号铁夹,4,9,1.1712,0.49754,0.49754,2.353983,2.353181,2.354838,0.000704,支持曾遭雷击,1.0,否
小号铁夹,4,10,1.0993,0.455328,0.455328,2.414302,2.413469,2.415257,0.000741,支持曾遭雷击,1.0,否
小号铁夹,4,11,1.0301,0.412611,0.412611,2.496542,2.494836,2.498282,0.00138,支持曾遭雷击,1.0,否
小号铁夹,4,12,0.9672,0.376629,0.376629,2.568047,2.565675,2.570472,0.001868,支持曾遭雷击,1.0,否
小号铁夹,4,13,0.9158,0.368662,0.368662,2.484119,2.482135,2.486231,0.001649,支持曾遭雷击,1.0,否
小号铁夹,4,14,0.8632,0.347624,0.347624,2.483146,2.479504,2.486889,0.002974,支持曾遭雷击,1.0,否
小号铁夹,4,15,0.8114,0.323657,0.323657,2.506977,2.502288,2.511546,0.003693,支持曾遭雷击,1.0,否
小号铁夹,4,22,0.4329,0.192999,0.192999,2.24302,2.234452,2.251406,0.007559,支持曾遭雷击,1.0,否
小号铁夹,4,30,0.226,0.097795,0.097795,2.310961,2.302853,2.318901,0.006944,支持曾遭雷击,1.0,否
小号铁夹,4,37,0.1401,0.060954,0.060954,2.298455,2.283634,2.31388,0.013159,支持曾遭雷击,1.0,否
小号铁夹,4,44,0.0819,0.034542,0.034542,2.371017,2.354342,2.387808,0.014115,灰区/证据不足,1.0,是
小号铁夹,4,51,0.0474,0.018229,0.018229,2.600281,2.584866,2.614896,0.011549,灰区/证据不足,1.0,是
小号铁夹,4,58,0.0198,0.008813,0.008813,2.246658,2.2388,2.254384,0.006937,灰区/证据不足,1.0,是
小号铁夹,4,90,0.0009,0.000389,0.000389,2.310871,2.278759,2.342783,0.027706,灰区/证据不足,1.0,是
小号铁夹,5,1,2.2346,0.87411,0.87411,2.55643,2.548583,2.564248,0.006128,支持曾遭雷击,1.0,否
小号铁夹,5,2,1.9897,0.803269,0.803269,2.477003,2.46927,2.484581,0.006181,支持曾遭雷击,1.0,否
小号铁夹,5,3,1.7715,0.737632,0.737632,2.401606,2.394106,2.408959,0.006184,支持曾遭雷击,1.0,否
小号铁夹,5,4,1.6714,0.687933,0.687933,2.429596,2.422857,2.436174,0.005481,支持曾遭雷击,1.0,否
小号铁夹,5,5,1.5727,0.638238,0.638238,2.464128,2.457863,2.470207,0.005009,支持曾遭雷击,1.0,否
小号铁夹,5,6,1.4828,0.601659,0.601659,2.464519,2.460038,2.468987,0.003631,支持曾遭雷击,1.0,否
小号铁夹,5,7,1.3985,0.563319,0.563319,2.482608,2.479301,2.485963,0.002683,支持曾遭雷击,1.0,否
小号铁夹,5,8,1.3219,0.53494,0.53494,2.471119,2.469827,2.472558,0.001105,支持曾遭雷击,1.0,否
小号铁夹,5,9,1.2432,0.49754,0.49754,2.498695,2.497844,2.499602,0.000704,支持曾遭雷击,1.0,否
小号铁夹,5,10,1.1669,0.455328,0.455328,2.562766,2.561882,2.56378,0.000741,支持曾遭雷击,1.0,否
小号铁夹,5,11,1.0935,0.412611,0.412611,2.650198,2.648387,2.652045,0.00138,支持曾遭雷击,1.0,否
小号铁夹,5,12,1.0267,0.376629,0.376629,2.726027,2.723509,2.728602,0.001868,支持曾遭雷击,1.0,否
小号铁夹,5,13,0.9721,0.368662,0.368662,2.636834,2.634728,2.639076,0.001649,支持曾遭雷击,1.0,否
小号铁夹,5,14,0.9163,0.347624,0.347624,2.635897,2.632031,2.639871,0.002974,支持曾遭雷击,1.0,否
小号铁夹,5,15,0.8613,0.323657,0.323657,2.661152,2.656175,2.666002,0.003693,支持曾遭雷击,1.0,否
小号铁夹,5,22,0.4595,0.192999,0.192999,2.380845,2.37175,2.389746,0.007559,支持曾遭雷击,1.0,否
小号铁夹,5,30,0.2399,0.097795,0.097795,2.453095,2.444488,2.461524,0.006944,支持曾遭雷击,1.0,否
小号铁夹,5,37,0.1487,0.060954,0.060954,2.439545,2.423814,2.455917,0.013159,支持曾遭雷击,1.0,否
小号铁夹,5,44,0.0869,0.034542,0.034542,2.515767,2.498074,2.533584,0.014115,灰区/证据不足,1.0,是
小号铁夹,5,51,0.0503,0.018229,0.018229,2.75937,2.743012,2.774879,0.011549,灰区/证据不足,1.0,是
小号铁夹,5,58,0.021,0.008813,0.008813,2.382819,2.374484,2.391013,0.006937,灰区/证据不足,1.0,是
小号铁夹,5,90,0.001,0.000389,0.000389,2.567635,2.531954,2.603092,0.027706,灰区/证据不足,1.0,是
小号铁夹,6,1,2.7097,0.87411,0.87411,3.099954,3.090439,3.109435,0.006128,支持曾遭雷击,1.0,否
小号铁夹,6,2,2.4126,0.803269,0.803269,3.003476,2.9941,3.012665,0.006181,支持曾遭雷击,1.0,否
小号铁夹,6,3,2.1482,0.737632,0.737632,2.912294,2.9032,2.921211,0.006184,支持曾遭雷击,1.0,否
小号铁夹,6,4,2.0267,0.687933,0.687933,2.946071,2.937899,2.954047,0.005481,支持曾遭雷击,1.0,否
小号铁夹,6,5,1.907,0.638238,0.638238,2.987913,2.980318,2.995285,0.005009,支持曾遭雷击,1.0,否
小号铁夹,6,6,1.798,0.601659,0.601659,2.988404,2.98297,2.993822,0.003631,支持曾遭雷击,1.0,否
小号铁夹,6,7,1.6958,0.563319,0.563319,3.010373,3.006363,3.014441,0.002683,支持曾遭雷击,1.0,否
小号铁夹,6,8,1.6029,0.53494,0.53494,2.996411,2.994845,2.998156,0.001105,支持曾遭雷击,1.0,否
小号铁夹,6,9,1.5075,0.49754,0.49754,3.029909,3.028877,3.031009,0.000704,支持曾遭雷击,1.0,否
小号铁夹,6,10,1.4149,0.455328,0.455328,3.107428,3.106356,3.108657,0.000741,支持曾遭雷击,1.0,否
小号铁夹,6,11,1.3259,0.412611,0.412611,3.213441,3.211245,3.21568,0.00138,支持曾遭雷击,1.0,否
小号铁夹,6,12,1.245,0.376629,0.376629,3.305643,3.30259,3.308766,0.001868,支持曾遭雷击,1.0,否
小号铁夹,6,13,1.1788,0.368662,0.368662,3.19751,3.194957,3.200229,0.001649,支持曾遭雷击,1.0,否
小号铁夹,6,14,1.111,0.347624,0.347624,3.195986,3.191298,3.200804,0.002974,支持曾遭雷击,1.0,否
小号铁夹,6,15,1.0444,0.323657,0.323657,3.226875,3.22084,3.232756,0.003693,支持曾遭雷击,1.0,否
小号铁夹,6,22,0.5572,0.192999,0.192999,2.887066,2.876037,2.89786,0.007559,支持曾遭雷击,1.0,否
小号铁夹,6,30,0.2909,0.097795,0.097795,2.974595,2.964159,2.984816,0.006944,支持曾遭雷击,1.0,否
小号铁夹,6,37,0.1803,0.060954,0.060954,2.957969,2.938895,2.97782,0.013159,支持曾遭雷击,1.0,否
小号铁夹,6,44,0.1054,0.034542,0.034542,3.051345,3.029885,3.072954,0.014115,灰区/证据不足,1.0,是
小号铁夹,6,51,0.061,0.018229,0.018229,3.346353,3.326515,3.365161,0.011549,灰区/证据不足,1.0,是
小号铁夹,6,58,0.0254,0.008813,0.008813,2.882076,2.871996,2.891987,0.006937,灰区/证据不足,1.0,是
小号铁夹,6,90,0.0012,0.000389,0.000389,3.081161,3.038345,3.123711,0.027706,灰区/证据不足,1.0,是
小号铁夹,7,1,1.8645,0.87411,0.87411,2.133027,2.12648,2.139551,0.006128,支持曾遭雷击,1.0,否
小号铁夹,7,2,1.6601,0.803269,0.803269,2.06668,2.060228,2.073002,0.006181,支持曾遭雷击,1.0,否
小号铁夹,7,3,1.4781,0.737632,0.737632,2.003846,1.997588,2.009981,0.006184,支持曾遭雷击,1.0,否
小号铁夹,7,4,1.3946,0.687933,0.687933,2.027231,2.021609,2.03272,0.005481,支持曾遭雷击,1.0,否
小号铁夹,7,5,1.3122,0.638238,0.638238,2.055973,2.050746,2.061045,0.005009,支持曾遭雷击,1.0,否
小号铁夹,7,6,1.2372,0.601659,0.601659,2.056314,2.052576,2.060042,0.003631,支持曾遭雷击,1.0,否
小号铁夹,7,7,1.1669,0.563319,0.563319,2.071474,2.068714,2.074272,0.002683,支持曾遭雷击,1.0,否
小号铁夹,7,8,1.1029,0.53494,0.53494,2.061727,2.060649,2.062928,0.001105,支持曾遭雷击,1.0,否
小号铁夹,7,9,1.0373,0.49754,0.49754,2.084859,2.084149,2.085616,0.000704,支持曾遭雷击,1.0,否
小号铁夹,7,10,0.9736,0.455328,0.455328,2.138237,2.1375,2.139083,0.000741,支持曾遭雷击,1.0,否
小号铁夹,7,11,0.9124,0.412611,0.412611,2.211286,2.209774,2.212826,0.00138,支持曾遭雷击,1.0,否
小号铁夹,7,12,0.8567,0.376629,0.376629,2.274654,2.272553,2.276803,0.001868,支持曾遭雷击,1.0,否
小号铁夹,7,13,0.8111,0.368662,0.368662,2.200119,2.198362,2.20199,0.001649,支持曾遭雷击,1.0,否
小号铁夹,7,14,0.7645,0.347624,0.347624,2.199218,2.195992,2.202533,0.002974,支持曾遭雷击,1.0,否
小号铁夹,7,15,0.7187,0.323657,0.323657,2.220562,2.216409,2.224609,0.003693,支持曾遭雷击,1.0,否
小号铁夹,7,22,0.3834,0.192999,0.192999,1.986542,1.978953,1.993969,0.007559,支持曾遭雷击,1.0,否
小号铁夹,7,30,0.2002,0.097795,0.097795,2.047143,2.039961,2.054177,0.006944,支持曾遭雷击,1.0,否
小号铁夹,7,37,0.1241,0.060954,0.060954,2.035962,2.022834,2.049625,0.013159,支持曾遭雷击,1.0,否
小号铁夹,7,44,0.0725,0.034542,0.034542,2.098885,2.084124,2.113749,0.014115,灰区/证据不足,1.0,是
小号铁夹,7,51,0.042,0.018229,0.018229,2.304046,2.290388,2.316996,0.011549,灰区/证据不足,1.0,是
小号铁夹,7,58,0.0175,0.008813,0.008813,1.985682,1.978737,1.992511,0.006937,灰区/证据不足,1.0,是
小号铁夹,7,90,0.0008,0.000389,0.000389,2.054108,2.025564,2.082474,0.027706,灰区/证据不足,1.0,是
小号铁夹,8,1,2.3186,0.87411,0.87411,2.652527,2.644386,2.66064,0.006128,支持曾遭雷击,1.0,否
小号铁夹,8,2,2.0644,0.803269,0.803269,2.569998,2.561974,2.57786,0.006181,支持曾遭雷击,1.0,否
小号铁夹,8,3,1.8381,0.737632,0.737632,2.491895,2.484113,2.499524,0.006184,支持曾遭雷击,1.0,否
小号铁夹,8,4,1.7342,0.687933,0.687933,2.520884,2.513892,2.527709,0.005481,支持曾遭雷击,1.0,否
小号铁夹,8,5,1.6318,0.638238,0.638238,2.556726,2.550227,2.563035,0.005009,支持曾遭雷击,1.0,否
小号铁夹,8,6,1.5385,0.601659,0.601659,2.557096,2.552447,2.561732,0.003631,支持曾遭雷击,1.0,否
小号铁夹,8,7,1.4511,0.563319,0.563319,2.575984,2.572552,2.579464,0.002683,支持曾遭雷击,1.0,否
小号铁夹,8,8,1.3715,0.53494,0.53494,2.563839,2.562499,2.565332,0.001105,支持曾遭雷击,1.0,否
小号铁夹,8,9,1.2899,0.49754,0.49754,2.592557,2.591674,2.593498,0.000704,支持曾遭雷击,1.0,否
小号铁夹,8,10,1.2107,0.455328,0.455328,2.65896,2.658043,2.660012,0.000741,支持曾遭雷击,1.0,否
小号铁夹,8,11,1.1346,0.412611,0.412611,2.749808,2.747928,2.751724,0.00138,支持曾遭雷击,1.0,否
小号铁夹,8,12,1.0653,0.376629,0.376629,2.828515,2.825903,2.831187,0.001868,支持曾遭雷击,1.0,否
小号铁夹,8,13,1.0086,0.368662,0.368662,2.735841,2.733656,2.738166,0.001649,支持曾遭雷击,1.0,否
小号铁夹,8,14,0.9507,0.347624,0.347624,2.734855,2.730844,2.738978,0.002974,支持曾遭雷击,1.0,否
小号铁夹,8,15,0.8937,0.323657,0.323657,2.761258,2.756094,2.766291,0.003693,支持曾遭雷击,1.0,否
小号铁夹,8,22,0.4768,0.192999,0.192999,2.470483,2.461045,2.479719,0.007559,支持曾遭雷击,1.0,否
小号铁夹,8,30,0.2489,0.097795,0.097795,2.545124,2.536195,2.553869,0.006944,支持曾遭雷击,1.0,否
小号铁夹,8,37,0.1543,0.060954,0.060954,2.531418,2.515094,2.548406,0.013159,支持曾遭雷击,1.0,否
小号铁夹,8,44,0.0902,0.034542,0.034542,2.611303,2.592938,2.629796,0.014115,灰区/证据不足,1.0,是
小号铁夹,8,51,0.0522,0.018229,0.018229,2.863601,2.846625,2.879695,0.011549,灰区/证据不足,1.0,是
小号铁夹,8,58,0.0218,0.008813,0.008813,2.473593,2.464941,2.482099,0.006937,灰区/证据不足,1.0,是
小号铁夹,8,90,0.001,0.000389,0.000389,2.567635,2.531954,2.603092,0.027706,灰区/证据不足,1.0,是
小号铁夹,9,1,2.4314,0.87411,0.87411,2.781573,2.773035,2.79008,0.006128,支持曾遭雷击,1.0,否
小号铁夹,9,2,2.1649,0.803269,0.803269,2.695112,2.686698,2.703357,0.006181,支持曾遭雷击,1.0,否
小号铁夹,9,3,1.9276,0.737632,0.737632,2.613229,2.605068,2.62123,0.006184,支持曾遭雷击,1.0,否
小号铁夹,9,4,1.8186,0.687933,0.687933,2.64357,2.636238,2.650727,0.005481,支持曾遭雷击,1.0,否
小号铁夹,9,5,1.7112,0.638238,0.638238,2.681131,2.674315,2.687746,0.005009,支持曾遭雷击,1.0,否
小号铁夹,9,6,1.6134,0.601659,0.601659,2.681585,2.67671,2.686447,0.003631,支持曾遭雷击,1.0,否
小号铁夹,9,7,1.5217,0.563319,0.563319,2.701312,2.697714,2.704962,0.002683,支持曾遭雷击,1.0,否
小号铁夹,9,8,1.4383,0.53494,0.53494,2.688713,2.687308,2.690279,0.001105,支持曾遭雷击,1.0,否
小号铁夹,9,9,1.3527,0.49754,0.49754,2.718778,2.717852,2.719765,0.000704,支持曾遭雷击,1.0,否
小号铁夹,9,10,1.2696,0.455328,0.455328,2.788317,2.787356,2.789421,0.000741,支持曾遭雷击,1.0,否
小号铁夹,9,11,1.1898,0.412611,0.412611,2.88359,2.881619,2.885599,0.00138,支持曾遭雷击,1.0,否
小号铁夹,9,12,1.1171,0.376629,0.376629,2.966051,2.963312,2.968853,0.001868,支持曾遭雷击,1.0,否
小号铁夹,9,13,1.0577,0.368662,0.368662,2.869025,2.866734,2.871464,0.001649,支持曾遭雷击,1.0,否
小号铁夹,9,14,0.997,0.347624,0.347624,2.868045,2.863838,2.872369,0.002974,支持曾遭雷击,1.0,否
小号铁夹,9,15,0.9372,0.323657,0.323657,2.89566,2.890244,2.900937,0.003693,支持曾遭雷击,1.0,否
小号铁夹,9,22,0.5,0.192999,0.192999,2.590691,2.580794,2.600376,0.007559,支持曾遭雷击,1.0,否
小号铁夹,9,30,0.261,0.097795,0.097795,2.668853,2.659489,2.678023,0.006944,支持曾遭雷击,1.0,否
小号铁夹,9,37,0.1618,0.060954,0.060954,2.654461,2.637345,2.672275,0.013159,支持曾遭雷击,1.0,否
小号铁夹,9,44,0.0946,0.034542,0.034542,2.738683,2.719423,2.758079,0.014115,灰区/证据不足,1.0,是
小号铁夹,9,51,0.0548,0.018229,0.018229,3.006232,2.988411,3.023129,0.011549,灰区/证据不足,1.0,是
小号铁夹,9,58,0.0228,0.008813,0.008813,2.58706,2.578012,2.595957,0.006937,灰区/证据不足,1.0,是
小号铁夹,9,90,0.0011,0.000389,0.000389,2.824398,2.78515,2.863402,0.027706,灰区/证据不足,1.0,是
小号铁夹,10,1,1.6433,0.87411,0.87411,1.87997,1.8742,1.885719,0.006128,支持曾遭雷击,1.0,否
小号铁夹,10,2,1.4632,0.803269,0.803269,1.821556,1.81587,1.827129,0.006181,支持曾遭雷击,1.0,否
小号铁夹,10,3,1.3028,0.737632,0.737632,1.766193,1.760678,1.771601,0.006184,支持曾遭雷击,1.0,否
小号铁夹,10,4,1.2291,0.687933,0.687933,1.786656,1.7817,1.791493,0.005481,支持曾遭雷击,1.0,否
小号铁夹,10,5,1.1566,0.638238,0.638238,1.812176,1.80757,1.816648,0.005009,支持曾遭雷击,1.0,否
小号铁夹,10,6,1.0905,0.601659,0.601659,1.812488,1.809193,1.815774,0.003631,支持曾遭雷击,1.0,否
小号铁夹,10,7,1.0285,0.563319,0.563319,1.825787,1.823355,1.828254,0.002683,支持曾遭雷击,1.0,否
小号铁夹,10,8,0.9721,0.53494,0.53494,1.817213,1.816264,1.818272,0.001105,支持曾遭雷击,1.0,否
小号铁夹,10,9,0.9142,0.49754,0.49754,1.837441,1.836816,1.838108,0.000704,支持曾遭雷击,1.0,否
小号铁夹,10,10,0.8581,0.455328,0.455328,1.884574,1.883924,1.88532,0.000741,支持曾遭雷击,1.0,否
小号铁夹,10,11,0.8041,0.412611,0.412611,1.948811,1.947479,1.950169,0.00138,支持曾遭雷击,1.0,否
小号铁夹,10,12,0.755,0.376629,0.376629,2.004627,2.002775,2.00652,0.001868,支持曾遭雷击,1.0,否
小号铁夹,10,13,0.7149,0.368662,0.368662,1.939176,1.937627,1.940824,0.001649,支持曾遭雷击,1.0,否
小号铁夹,10,14,0.6738,0.347624,0.347624,1.938304,1.935461,1.941226,0.002974,支持曾遭雷击,1.0,否
小号铁夹,10,15,0.6334,0.323657,0.323657,1.957011,1.953351,1.960578,0.003693,支持曾遭雷击,1.0,否
小号铁夹,10,22,0.3379,0.192999,0.192999,1.750789,1.744101,1.757334,0.007559,支持曾遭雷击,1.0,否
小号铁夹,10,30,0.1764,0.097795,0.097795,1.803776,1.797448,1.809974,0.006944,支持曾遭雷击,1.0,否
小号铁夹,10,37,0.1093,0.060954,0.060954,1.793156,1.781593,1.80519,0.013159,支持曾遭雷击,1.0,否
小号铁夹,10,44,0.0639,0.034542,0.034542,1.849914,1.836904,1.863015,0.014115,灰区/证据不足,1.0,是
小号铁夹,10,51,0.037,0.018229,0.018229,2.029755,2.017722,2.041163,0.011549,灰区/证据不足,1.0,是
小号铁夹,10,58,0.0154,0.008813,0.008813,1.7474,1.741289,1.75341,0.006937,灰区/证据不足,1.0,是
小号铁夹,10,90,0.0007,0.000389,0.000389,1.797344,1.772368,1.822165,0.027706,灰区/证据不足,1.0,是
小号铁夹,11,1,2.4533,0.87411,0.87411,2.806627,2.798012,2.815211,0.006128,支持曾遭雷击,1.0,否
小号铁夹,11,2,2.1843,0.803269,0.803269,2.719263,2.710774,2.727582,0.006181,支持曾遭雷击,1.0,否
小号铁夹,11,3,1.9449,0.737632,0.737632,2.636682,2.628449,2.644755,0.006184,支持曾遭雷击,1.0,否
小号铁夹,11,4,1.8349,0.687933,0.687933,2.667264,2.659867,2.674486,0.005481,支持曾遭雷击,1.0,否
小号铁夹,11,5,1.7266,0.638238,0.638238,2.70526,2.698383,2.711935,0.005009,支持曾遭雷击,1.0,否
小号铁夹,11,6,1.6279,0.601659,0.601659,2.705685,2.700766,2.710591,0.003631,支持曾遭雷击,1.0,否
小号铁夹,11,7,1.5353,0.563319,0.563319,2.725455,2.721824,2.729137,0.002683,支持曾遭雷击,1.0,否
小号铁夹,11,8,1.4512,0.53494,0.53494,2.712828,2.71141,2.714408,0.001105,支持曾遭雷击,1.0,否
小号铁夹,11,9,1.3648,0.49754,0.49754,2.743098,2.742163,2.744094,0.000704,支持曾遭雷击,1.0,否
小号铁夹,11,10,1.2811,0.455328,0.455328,2.813574,2.812604,2.814687,0.000741,支持曾遭雷击,1.0,否
小号铁夹,11,11,1.2005,0.412611,0.412611,2.909523,2.907534,2.91155,0.00138,支持曾遭雷击,1.0,否
小号铁夹,11,12,1.1272,0.376629,0.376629,2.992868,2.990104,2.995695,0.001868,支持曾遭雷击,1.0,否
小号铁夹,11,13,1.0672,0.368662,0.368662,2.894794,2.892482,2.897255,0.001649,支持曾遭雷击,1.0,否
